INFO 2025-05-16 20:11:43,996 utils 16864 17112 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\engine
INFO 2025-05-16 20:13:45,466 utils 22736 28760 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\engine
INFO 2025-05-16 20:16:10,789 apps 4728 19272 RecommendationsConfig ready method called.
INFO 2025-05-16 20:18:20,879 apps 42032 42844 RecommendationsConfig ready method called.
INFO 2025-05-16 20:18:23,816 apps 21228 15780 RecommendationsConfig ready method called.
INFO 2025-05-16 20:21:05,898 apps 14128 35904 RecommendationsConfig ready method called.
INFO 2025-05-16 20:22:18,879 signals 14128 16172 User testnumber2 (ID: 15) has reached 20 ratings. Generating recommendations.
ERROR 2025-05-16 20:22:23,104 signals 14128 16172 Failed to trigger recommendations for user 15: [WinError 10061] No connection could be made because the target machine actively refused it
INFO 2025-05-16 20:22:23,117 recommendation_engine 14128 16172 Generating 15 recommendations for user_id '15'.
WARNING 2025-05-16 20:22:23,117 recommendation_engine 14128 16172 User_id '15' not found in the training set (after filtering). Cannot generate recommendations with current model context.
INFO 2025-05-16 20:22:23,117 services 14128 16172 No recommendations generated for user 15
INFO 2025-05-16 20:22:23,119 signals 14128 16172 Generated 0 recommendations for user 15 synchronously.
INFO 2025-05-16 20:25:14,094 apps 33804 37472 RecommendationsConfig ready method called.
INFO 2025-05-16 20:25:23,274 apps 35616 20044 RecommendationsConfig ready method called.
INFO 2025-05-16 20:25:55,864 signals 35616 40772 User testnumber2 (ID: 15) has reached 21 ratings. Generating recommendations.
ERROR 2025-05-16 20:26:00,079 signals 35616 40772 Failed to trigger recommendations for user 15: [WinError 10061] No connection could be made because the target machine actively refused it
INFO 2025-05-16 20:26:00,088 recommendation_engine 35616 40772 Generating 15 recommendations for user_id '15'.
WARNING 2025-05-16 20:26:00,089 recommendation_engine 35616 40772 User_id '15' not found in the training set (after filtering). Cannot generate recommendations with current model context.
